company_name,phone_number,email,website,main_activity,location,products,region,detail_url
فرع شركة المطورون المتحدون للتسويق المحدودة,2022 740,,,,,,Makkah Region,https://companysa.net/%D9%81%D8%B1%D8%B9-%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D9%85%D8%B7%D9%88%D8%B1%D9%88%D9%86-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D9%88%D9%86-%D9%84%D9%84%D8%AA%D8%B3%D9%88%D9%8A%D9%82-%D8%A7%D9%84%D9/
شركة الثوب العالمي للصناعة,2022 594,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D8%AB%D9%88%D8%A8-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A-%D9%84%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9/
فرع الشركة الخليجية لأنظمة التعبئة و التغليف,2022 879,,,,,,Makkah Region,https://companysa.net/%D9%81%D8%B1%D8%B9-%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC%D9%8A%D8%A9-%D9%84%D8%A3%D9%86%D8%B8%D9%85%D8%A9-%D8%A7%D9%84%D8%AA%D8%B9%D8%A8%D8%A6%D8%A9-%D9%88-%D8%A7/
مصنع الغاز الاول للغازات الصناعية,2022 741,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%A7%D9%84%D8%BA%D8%A7%D8%B2-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D9%84%D9%84%D8%BA%D8%A7%D8%B2%D8%A7%D8%AA-%D8%A7%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D9%8A%D8%A9/
مصنع القمة للبلاستيك,2022 822,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%A7%D9%84%D9%82%D9%85%D8%A9-%D9%84%D9%84%D8%A8%D9%84%D8%A7%D8%B3%D8%AA%D9%8A%D9%83/
مصنع الغندوره للأشرطة اللاصقه,2022 677,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%A7%D9%84%D8%BA%D9%86%D8%AF%D9%88%D8%B1%D9%87-%D9%84%D9%84%D8%A3%D8%B4%D8%B1%D8%B7%D8%A9-%D8%A7%D9%84%D9%84%D8%A7%D8%B5%D9%82%D9%87/
مصنع سعيد علي محمد الغامدي للصناعة,2022 717,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%B3%D8%B9%D9%8A%D8%AF-%D8%B9%D9%84%D9%8A-%D9%85%D8%AD%D9%85%D8%AF-%D8%A7%D9%84%D8%BA%D8%A7%D9%85%D8%AF%D9%8A-%D9%84%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9/
فرع شركة مصنع المواد العازلة المحدودة,2022 740,,,,,,Makkah Region,https://companysa.net/%D9%81%D8%B1%D8%B9-%D8%B4%D8%B1%D9%83%D8%A9-%D9%85%D8%B5%D9%86%D8%B9-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D8%AF-%D8%A7%D9%84%D8%B9%D8%A7%D8%B2%D9%84%D8%A9-%D8%A7%D9%84%D9%85%D8%AD%D8%AF%D9%88%D8%AF%D8%A9/
شركة مصنع شركة نسر الجنوب لفلاتر غسيل الكلى,0122363655,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D9%85%D8%B5%D9%86%D8%B9-%D8%B4%D8%B1%D9%83%D8%A9-%D9%86%D8%B3%D8%B1-%D8%A7%D9%84%D8%AC%D9%86%D9%88%D8%A8-%D9%84%D9%81%D9%84%D8%A7%D8%AA%D8%B1-%D8%BA%D8%B3%D9%8A%D9%84-%D8%A7/
شركة منزل الصقر العربي للصناعة,2022 641,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D9%85%D9%86%D8%B2%D9%84-%D8%A7%D9%84%D8%B5%D9%82%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A-%D9%84%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9/
شركة فايزر السعودية المحدودة,2022 848,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D9%81%D8%A7%D9%8A%D8%B2%D8%B1-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%AD%D8%AF%D9%88%D8%AF%D8%A9/
مصنع مايا احمد واصف اليمن للصناعة,2022 712,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D9%85%D8%A7%D9%8A%D8%A7-%D8%A7%D8%AD%D9%85%D8%AF-%D9%88%D8%A7%D8%B5%D9%81-%D8%A7%D9%84%D9%8A%D9%85%D9%86-%D9%84%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9/
مصنع شركة قبص للعطور والنكهات,5222000,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%B4%D8%B1%D9%83%D8%A9-%D9%82%D8%A8%D8%B5-%D9%84%D9%84%D8%B9%D8%B7%D9%88%D8%B1-%D9%88%D8%A7%D9%84%D9%86%D9%83%D9%87%D8%A7%D8%AA/
مصنع حلويات شركة الخليج للتموين,0114443644,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%AD%D9%84%D9%88%D9%8A%D8%A7%D8%AA-%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC-%D9%84%D9%84%D8%AA%D9%85%D9%88%D9%8A%D9%86/
مصنع عصام منصور الغامدي للثلاجات والشوايات,2022 533,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%B9%D8%B5%D8%A7%D9%85-%D9%85%D9%86%D8%B5%D9%88%D8%B1-%D8%A7%D9%84%D8%BA%D8%A7%D9%85%D8%AF%D9%8A-%D9%84%D9%84%D8%AB%D9%84%D8%A7%D8%AC%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%B4%D9/
فرع شركة الدسر العالميه للطاقه الكهربائية و المياه المحدوده,2022 736,,,,,,Makkah Region,https://companysa.net/%D9%81%D8%B1%D8%B9-%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D8%AF%D8%B3%D8%B1-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%D9%87-%D9%84%D9%84%D8%B7%D8%A7%D9%82%D9%87-%D8%A7%D9%84%D9%83%D9%87%D8%B1%D8%A8%D8/
شركة الصلب الفولاذ للصناعة (شركة شخص واحد),2022 455,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D8%B5%D9%84%D8%A8-%D8%A7%D9%84%D9%81%D9%88%D9%84%D8%A7%D8%B0-%D9%84%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9-%28%D8%B4%D8%B1%D9%83%D8%A9-%D8%B4%D8%AE%D8%B5-%D9%88%D8/
مصنع عبدالله سعيد الصملي للصناعة,2022 913,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87-%D8%B3%D8%B9%D9%8A%D8%AF-%D8%A7%D9%84%D8%B5%D9%85%D9%84%D9%8A-%D9%84%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9/
الشركة المتحدة للسكر مساهمة مقفلة,0126089701,,,,,,Makkah Region,https://companysa.net/%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9-%D9%84%D9%84%D8%B3%D9%83%D8%B1-%D9%85%D8%B3%D8%A7%D9%87%D9%85%D8%A9-%D9%85%D9%82%D9%81%D9%84%D8%A9/
شركة صالح احمد عبدالله بن عفيف لمستحضرات التجميل,2022 948,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D8%B5%D8%A7%D9%84%D8%AD-%D8%A7%D8%AD%D9%85%D8%AF-%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87-%D8%A8%D9%86-%D8%B9%D9%81%D9%8A%D9%81-%D9%84%D9%85%D8%B3%D8%AA%D8%AD%D8%B6%D8%B1/
مصنع مكنوز القصيم للتمور,7311115,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D9%85%D9%83%D9%86%D9%88%D8%B2-%D8%A7%D9%84%D9%82%D8%B5%D9%8A%D9%85-%D9%84%D9%84%D8%AA%D9%85%D9%88%D8%B1/
مصنع فرع شركة ايه اي ام للصناعات,2022 578,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D9%81%D8%B1%D8%B9-%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%8A%D9%87-%D8%A7%D9%8A-%D8%A7%D9%85-%D9%84%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A7%D8%AA/
شركة الصباح للصناعة شركة شخص واحد,2022 788,,,,,,Makkah Region,https://companysa.net/%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D8%B5%D8%A8%D8%A7%D8%AD-%D9%84%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9-%D8%B4%D8%B1%D9%83%D8%A9-%D8%B4%D8%AE%D8%B5-%D9%88%D8%A7%D8%AD%D8%AF/
مصنع ديكورات الرواق للصناعة,2022 544,,,,,,Makkah Region,https://companysa.net/%D9%85%D8%B5%D9%86%D8%B9-%D8%AF%D9%8A%D9%83%D9%88%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%B1%D9%88%D8%A7%D9%82-%D9%84%D9%84%D8%B5%D9%86%D8%A7%D8%B9%D8%A9/
